Ref,Val,Package,PosX,PosY,Rot,Side
"R62","47","R_0805_2012Metric",80.000000,-158.950000,0.000000,top
"R63","47","R_0805_2012Metric",80.000000,-186.720000,0.000000,top
"R64","10k","R_0805_2012Metric",64.000000,-37.450000,0.000000,top
"R65","10k","R_0805_2012Metric",64.000000,-65.140000,0.000000,top
"R66","10k","R_0805_2012Metric",64.000000,-92.820000,0.000000,top
"R67","10k","R_0805_2012Metric",64.000000,-120.640000,0.000000,top
"R68","10k","R_0805_2012Metric",64.000000,-148.450000,0.000000,top
"R69","10k","R_0805_2012Metric",64.000000,-176.220000,0.000000,top
"R70","10k","R_0805_2012Metric",62.000000,-46.950000,90.000000,top
"R71","10k","R_0805_2012Metric",62.000000,-74.640000,90.000000,top
"R72","10k","R_0805_2012Metric",62.000000,-102.320000,90.000000,top
"R73","10k","R_0805_2012Metric",62.000000,-130.140000,90.000000,top
"R74","10k","R_0805_2012Metric",62.000000,-157.950000,90.000000,top
"R75","10k","R_0805_2012Metric",62.000000,-185.720000,90.000000,top
"R76","47","R_0805_2012Metric",80.000000,-40.950000,0.000000,top
"R77","47","R_0805_2012Metric",80.000000,-68.640000,0.000000,top
"R78","47","R_0805_2012Metric",80.000000,-96.320000,0.000000,top
"R79","47","R_0805_2012Metric",80.000000,-124.140000,0.000000,top
"R80","47","R_0805_2012Metric",80.000000,-151.950000,0.000000,top
"R81","47","R_0805_2012Metric",80.000000,-179.720000,0.000000,top
"R82","10","R_0805_2012Metric",76.000000,-39.450000,90.000000,top
"R83","10","R_0805_2012Metric",76.000000,-67.140000,90.000000,top
"R84","10","R_0805_2012Metric",76.000000,-94.820000,90.000000,top
"R85","10","R_0805_2012Metric",76.000000,-122.640000,90.000000,top
"R86","10","R_0805_2012Metric",76.000000,-150.450000,90.000000,top
"R87","10","R_0805_2012Metric",76.000000,-178.220000,90.000000,top
"R88","10","R_0805_2012Metric",76.000000,-49.450000,90.000000,top
"R89","10","R_0805_2012Metric",76.000000,-77.140000,90.000000,top
"R90","10","R_0805_2012Metric",76.000000,-104.820000,90.000000,top
"R91","10","R_0805_2012Metric",76.000000,-132.640000,90.000000,top
